火绳	huo3'sheng2
货箱	huo4'xiang1
奇数	ji1'shu4
稽征	ji1'zheng1
技穷	ji4'qiong2
家庭病床	jia1'ting2'bing4'chuang2
家长学校	jia1'zhang3'xue2'xiao4
奸计	jian1'ji4
肩周炎	jian1'zhou1'yan2
减省	jian3'sheng3
交际舞	jiao1'ji4'wu3
椒盐	jiao1'yan2
金器	jin1'qi4
